municipality,zip_code,age,gender,state,municipality_type
Unknown,37087,43,F,TN,state
Town Of Randolph,34239,87,M,FL,municipal
Unknown,10027,5,M,NY,state
Unknown,01238,56,M,MA,state
City Of Lawrence,34744,52,M,FL,municipal
Unknown,40330,63,M,KY,state
Unknown,89014,63,M,NV,state
Unknown,02375,57,M,MA,state
Unknown,32163,70,F,FL,state
Unknown,12168,23,F,NY,state
Unknown,76457,77,M,TX,state
Unknown,95330,83,M,CA,state
Unknown,21666,44,F,MD,state
Unknown,29928,15,F,SC,state
Unknown,27614,47,F,NC,state
Unknown,33319,69,F,FL,state
Unknown,32822,15,M,FL,state
Unknown,85250,62,F,AZ,state
Unknown,30135,64,M,GA,state
Unknown,33071,55,F,FL,state
Unknown,32746,17,F,FL,state
Unknown,30519,21,F,GA,state
Unknown,02780,61,M,MA,state
Unknown,60061,54,F,IL,state
Unknown,02186,57,M,MA,state
Unknown,34104,21,M,FL,state
Unknown,23185,72,F,VA,state
Unknown,30127,48,F,GA,state
Unknown,85756,63,M,AZ,state
Unknown,29544,58,M,SC,state
Unknown,80302,20,F,CO,state
Unknown,34787,23,M,FL,state
Unknown,35810,39,M,AL,state
Unknown,55405,62,F,MN,state
Unknown,29582,62,M,SC,state
Unknown,13126,64,M,NY,state
Unknown,30309,30,M,GA,state
Unknown,37934,56,F,TN,state
City Of Lawrence,03873,60,M,NH,municipal
Unknown,24556,78,M,VA,state
Unknown,30157,42,M,GA,state
Unknown,34293,63,F,FL,state
Unknown,34293,63,F,FL,state
Unknown,30521,58,F,GA,state
Unknown,33478,58,F,FL,state
Unknown,29928,52,M,SC,state
Unknown,76058,59,M,TX,state
Town Of Framingham,29577,59,M,SC,municipal
City Of Lowell,32712,51,M,FL,municipal
Unknown,28590,62,M,NC,state
Unknown,37144,61,M,TN,state
Unknown,19805,31,M,DE,state
Unknown,02481,61,F,MA,state
Unknown,02169,63,M,MA,state
Unknown,78606,61,F,TX,state
Unknown,32955,76,M,FL,state
Unknown,29303,56,F,SC,state
Unknown,10990,24,F,NY,state
City Of Lawrence,34736,85,F,FL,municipal
Unknown,34990,62,M,FL,state
Unknown,12180,58,F,NY,state
Unknown,34112,76,F,FL,state
Unknown,01453,57,F,MA,state
Unknown,07023,14,F,NJ,state
Unknown,13416,71,M,NY,state
Unknown,20147,39,M,VA,state
Unknown,29588,57,M,SC,state
Unknown,33433,82,F,FL,state
Blue Hills Regional Hs,29617,57,F,SC,municipal
Unknown,02038,58,M,MA,state
Unknown,85383,80,F,AZ,state
City Of Gloucester,29588,63,M,SC,municipal
Unknown,01532,24,F,MA,state
Unknown,85351,59,F,AZ,state
Unknown,02641,64,M,MA,state
Town Of Weymouth,02190,63,M,MA,municipal
Unknown,30909,58,F,GA,state
Unknown,34465,58,F,FL,state
Unknown,02186,40,F,MA,state
Unknown,30248,25,F,GA,state
